Table 5d. Adult unemployment,,,,,,
Last update: December 2012,,,,,,
,,,Adult (15+) unemployment rate,,,
,,,,,,
Country or area,Year,,Men,,Women,Source
Trinidad and Tobago,2008,,3.5,,6.2,HS
Turkey,2011,d,9.2,,11.3,LFS
Tuvalu,2005,,4.9,,8.6,PC
Uganda,2009,h1,3.1,,5.1,HS
Ukraine,2011,,8.8,,6.8,LFS
United Arab Emirates,2008,,2.0,,12.0,HS
United Kingdom,2011,b,8.4,,7.1,LFS
United Republic of Tanzania,2006,h,2.8,,5.8,HS
United States,2011,"b,d,i1",9.4,,8.5,LFS
Uruguay,2011,,4.5,,7.7,LFS
Vanuatu,2009,,4.1,,5.2,PC
"Venezuela, Bolivarian Republic of",2011,,7.7,,9.3,LFS
Viet Nam,2011,,1.7,,2.4,LFS
Zimbabwe,2004,,4.2,,4.1,LFS
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
